Serial No.,College Name,Department,Location
923,GSSS Institute of Engineering and Technology for Women - [GSSSIETW],No data found,No data found
924,Genba Sopanrao Moze College of Engineering Balewadi,No data found,No data found
925,Guru Nanak Dev Engineering College - [GNDEC ],No data found,No data found
926,Haryana Engineering College - [HEC],No data found,No data found
927,Holy Mary Institute of Technology and Science -[HITS],No data found,No data found
928,ITS Engineering College,No data found,No data found
929,ILM College of Engineering and Technology - [ILMCET],No data found,No data found
930,Indira College of Engineering & Management - [ICEM],No data found,No data found
931,Indra Ganesan College of Engineering - [IGCENG],No data found,No data found
932,K Ramakrishnan College of Technology - [KRCT],No data found,No data found
933,Kalam Institute of Technology - [KIT],No data found,No data found
934,Kandula Sreenivasa Reddy Memorial College of Engineering - [KSRMCE],No data found,No data found
935,Karavali Institute of Technology - [KIT],No data found,No data found
936,L.B.S. College of Engineering - [LBSCEK],No data found,No data found
937,Latha Mathavan Engineering College - [LMEC],No data found,No data found
938,Manipur Institute of Technology - [MIT],No data found,No data found
939,Modern Institute of Technology and Research Centre -[MITRC],No data found,No data found
940,Mohandas College of Engineering and Technology - [MCET],No data found,No data found
941,Narayana Engineering College - [NEC],No data found,No data found
942,Netaji Subhash Engineering College - [NSEC],No data found,No data found
943,R.M.K. College of Engineering and Technology - [RMKCET],No data found,No data found
944,RITEE Group of Institutions,RITEE Business School -[RIBS],"Raipur, Chhattisgarh"
944,RITEE Group of Institutions,RITEE College of Hotel Management- [RITCOHM],"Raipur, Chhattisgarh"
944,RITEE Group of Institutions,RITEE College Of Pharmacy-[RITCOP],"Raipur, Chhattisgarh"
944,RITEE Group of Institutions,RITEE College of Nursing - [RITCON],"Raipur, Chhattisgarh"
944,RITEE Group of Institutions,RITEE College of Management- [RITCOM],"Raipur, Chhattisgarh"
944,RITEE Group of Institutions,Raipur Institute of Technology- [RITEE],"Raipur, Chhattisgarh"
945,Rustamji Institute of Technology - [RJIT],No data found,No data found
946,SRK Institute of Technology,No data found,No data found
947,SS College of Engineering,No data found,No data found
948,Shaheed Udham Singh Engineering College - [SUSEC],No data found,No data found
949,Santhiram Engineering College Nandyal - [SREC],No data found,No data found
950,Shambhunath Institute of Engineering and Technology - [SIET],No data found,No data found
951,Shri Shankaracharya Institute of Professional Management and Technology - [SSIPMT],No data found,No data found
952,Siddhant College of Engineering - [SCOE] Sudumbare,No data found,No data found
953,Sipna's College of Engineering and Technology,No data found,No data found
954,Skyline Institute of Engineering and Technology - [SIET],No data found,No data found
955,Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon,No data found,No data found
956,Smt. Indira Gandhi College of Engineering - [SIGCE],No data found,No data found
957,SR University - [SRU],No data found,No data found
958,Sree Chaitanya College of Engineering - [SCCE],No data found,No data found
959,Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology - [SJCIT],No data found,No data found
960,Sri Muthukumaran Institute of Technology - [SMIT],No data found,No data found
961,Srinivasa Ramanujan Institute of Technology - [SRIT],No data found,No data found
962,St. Joseph's College of Engineering and Technology - [SJCET] Palai,No data found,No data found
963,T.J.S. Engineering College,No data found,No data found
964,SRM TRP Engineering College,No data found,No data found
965,Global Institute of Technology and Management - [GITM],No data found,No data found
966,United Institute of Technology - [UIT],No data found,No data found
967,Chhatrapati Shivaji Institute of Technology - [CSIT],No data found,No data found
968,Panipat Institute of Engineering & Technology - [PIET],No data found,No data found
969,Sanskar Educational Group - [SEG],No data found,No data found
970,Usha Rama College of Engineering and Technology - [URCE],No data found,No data found
971,Vidya Vikas Institute of Engineering and Technology - [VVIET],No data found,No data found
972,Indus International University - [IIU],No data found,No data found
973,Yamuna Group Of Institutions - [YGI],No data found,No data found
974,Amiraj College of Engineering and Technology- [ACET],No data found,No data found
975,Annamacharya Institute of Technology and Sciences - [AITS],No data found,No data found
976,Jai Narain College of Technology & Science - [JNCTS],No data found,No data found
977,BVRIT Hyderabad College of Engineering for Women - [BVRITH],No data found,No data found
978,Jhulelal Institute of Technology - [JIT],No data found,No data found
979,MIC College of Technology,No data found,No data found
980,Guru Nanak Institute of Technology - [GNIT],No data found,No data found
981,KJ Institute of Engineering and Technology - [KJIT],No data found,No data found
982,"Solamalai College of Engineering, Veerapanjan",No data found,No data found
983,V V College of Engineering,No data found,No data found
984,SRM University Vadapalani Campus,No data found,No data found
985,CMR Group of Institutions,No data found,No data found
986,Aryans Group of Colleges,No data found,No data found
987,Graphic Era Hill University Bhimtal Campus - [GEHU],"Graphic Era Hill University Bhimtal Campus, School of Management","Nainital, Uttarakhand"
987,Graphic Era Hill University Bhimtal Campus - [GEHU],"Graphic Era Hill University Bhimtal Campus, School of Engineering and Technology","Dehradun, Uttarakhand"
988,Phonics Group of Institutions - [PGI],No data found,No data found
989,Vindhya Institute of Technology and Science - [VITS],No data found,No data found
990,K.K. Wagh Institute of Engineering Education & Research - [KKWIEER],No data found,No data found
991,Supreme Knowledge Foundation Group of Institutions - [SKFGI],No data found,No data found
992,Elitte College of Engineering - [ECE],No data found,No data found
993,Siddhartha Institute of Technology and Sciences - [SITS],No data found,No data found
994,Institute of Technology & Management - [ITM],No data found,No data found
995,Mahendra Institute of Technology - [MIT],No data found,No data found
996,Shri Rawatpura Sarkar University - [SRU],No data found,No data found
997,Jorhat Institute of Science and Technology - [JIST],No data found,No data found
998,Sri Shanmugha College of Engineering and Technology - [SSCET],No data found,No data found
999,KIIT College of Engineering,No data found,No data found
1000,Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,No data found,No data found
