Serial No.,College Name,Rating,Pros,Cons
564,SRMIST Delhi NCR Campus,3.9,"The teachers are very good, helpful and having sufficient knowledge to teach for b.tech students. | The infrastructure of library and the avaiblity of books is very good | The teachers are very good, helpful and having sufficient knowledge to teach for b.tech students.",The restriction of hostel was not bearable the bad way they used to talk with us | Hostel food is not good enough for me they make me sick.
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",3.8,"I have a lot of interest in this course, and this university provides the best facilities for it. | Our college has made it compulsory for 8th-semester students to find the best companies to work on their projects. The students aim to make the college proud by sharing the knowledge they gain from these companies and incorporating it into their learning. | I have a lot of interest in this course, and this university provides the best facilities for it.","They didnt call a single company, here they just say and promise that they will arrange an interview for this college. | There are no loan facilities provided by our college because the fee structure is already small compared to that of other colleges, but scholarships are provided by our college to students based on their caste"
566,K.S. School of Engineering and Management- [KSSEM],3.5,The effectiveness of the placement services and the support provided for career advancement | The faculty's expertise teaching method and mentorship quality | The relevance and rigor of the course curriculum to your personal and professional development,I dislike the dirtyness of our college and there is less cleaning | The teachers are rude and they will scold for every small things
567,Vivekananda Institute of Technology - [VIT],3.8,The attendance is quite good as you are getting to sit in exams | Fest and shows are good and gelding in every 2 months | The attendance is quite good as you are getting to sit in exams,Placement is very poor only marketing companies are available for placement
568,PERI Institute of Technology - [PERIT],3.6,Atmosphere is one of the best thing in peri. It has a very good nature and big campus. | Air conditioner buses is available in this college,There will be a stayback class everyday after classes got over but they won't provide buses at that time | College food will not be good and sometimes it will be bad.
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,4.0,Electronics and telecommunications is this course is trending and opportunities for jobs are very more that's why i choose this course the 70 seats are reserved for this course the teaching method is very good. | My college is well know for good placement.this college is providing good placement of maximum package every year.every year number of students got placement is incriminating as facilitie are also working to provide good placements for students | Electronics and telecommunications is this course is trending and opportunities for jobs are very more that's why i choose this course the 70 seats are reserved for this course the teaching method is very good.,Some teachers are not teach well we can't understand their teaching
570,Adhiparasakthi College of Engineering Arcot - [APCE],4.1,I my college I like my first hod his name mrs.premkumar he handle class very loyal and teach cls very good and conduct some test in interact mode and he help in project and he will guild student in friendly manner and his personality was very good | Vice principal of Adhiparasakthi college of engineering then after 2 years he become the principal of Adhiparasakthi college of engineering and I like all teaching and non-teaching staff because they are friendly manner we ask any help they can do in,I my Adhiparasakthi college of engineering I did not conduct sports event this is the main draw back in that college and I can conduct some industrial visit for one day only and that do not fullfill of enjoyment and my college is very strict in all | They did conduct any internship opportunity in college
571,SRM Institute of Science and Technology Ramapuram Campus,3.9,"Environment was good , helping people were there, Faculty were good | Campus life is good , you will enjoy there college canteen also there cheap food and best quality. | Environment was good , helping people were there, Faculty were good",Campus is kinda so small and u kinda share a campus with another college | While compared to other colleges the break time for students is very less.
572,St. Andrews Institute of Technology and Management - [SAITM],4.3,"The knowledge of the college faculty is great here, they teach the best out of themselves. | Campus is facilities availablity of enjoyment and faculties are too good. | The knowledge of the college faculty is great here, they teach the best out of themselves.",There is a lot trouble as college is located in outskirts | Hostel mess is not so good and hostel management is very bad and rude behaviour
573,CMR Technical Campus - [CMRTC],3.9,Auditorium is the best place in this college the capacity is around 1200 every week we go to auditorium for events | I like sports ground and the way the sir teaches and interact with the students is very good | Auditorium is the best place in this college the capacity is around 1200 every week we go to auditorium for events,"They didnt give any holidays as a student we hate that | Rules of the college,writing the nasty stuff on records and observations (useless)"
574,"SRM, Institute of Technology",4.1,no pros found,no cons found
575,"University College of Engineering, JNTUK",3.7,Yearly they will conduct one Annual fest which i like the most | I really like the college environment as it is situated at the top of the hill | Yearly they will conduct one Annual fest which i like the most,Water quality is not good and water filters wont work properly
576,St.Joseph's Institute of Technology - [SJIT],4.3,Placement opportunities is vast in all fields | Food is exceptional and the best in taste and quality | The campus here in SJIT is really clean and neat and they maintain it that way everyday,Level of strictness is high. And the punishment is heavy for even small misbehavior | Forced to use college transport even if not required
577,Ramco Institute of Technology - [RIT],4.3,"I chose mechanical engineering because here the best faculties, who are under the doctorate faculty, are teaching and also helping us to do a project with well-developed activities. | As I am a first-year student, I dont have any internship experience in my college, but my friends here do internships in many departments. The internships provided here offer a valuable experience and help them become professionals. | I chose mechanical engineering because here the best faculties, who are under the doctorate faculty, are teaching and also helping us to do a project with well-developed activities.",The food at Tuesday will be variety rice I don't like that | The college location is so outer from the bustop
578,ITM Vocational University - [ITMVU],3.8,"Here, we were offered an industry-relevant curriculum that equipped us with a real-world problem-solving approach and hands-on experience. This was achieved through industry internships, capstone projects, career development workshops, NGO-CSR internships, professional certifications, and the Business Analytics Program, among other opportunities. | The university offers you internships with over 150 companies such as Wipro, Infosys, Tata, Sun Pharma, CEAT, L&T, Cosmos, Lupin, etc. | Here, we were offered an industry-relevant curriculum that equipped us with a real-world problem-solving approach and hands-on experience. This was achieved through industry internships, capstone projects, career development workshops, NGO-CSR internships, professional certifications, and the Business Analytics Program, among other opportunities.","There was no placement cell, at least during my time. It may happen in the future. I was really disappointed. The placement opportunities are almost negligible, as far as I have observed in and around the college"
579,"Greater Noida Institute of Technology, IPU - [GNIT]",3.7,I like coding and Im passionate about technology. The faculty is fine; most of them have an Mtech degree. | Many companies have been shared by the college with the students for their internship programs. | I like coding and Im passionate about technology. The faculty is fine; most of them have an Mtech degree.,"One-year fees: 87,500. E-district provides scholarships. You have to fill out the application when they open the site. The condition of placement is really bad. Only a few companies come. Highest package: 13 lakhs. Lowest package: 4 lakhs. | There is always availability of books in the library; you can borrow a book of your interest at any time"
580,Netaji Subhas University - [NSU],4.2,"My college campus is very beautiful and all over they planted trees and plants | I like veg roll and chhole bhature of my college canteen, sooo delicious. | My college campus is very beautiful and all over they planted trees and plants",Fee structure you will get any time notice for the fee which is really bad there are people living who dont have money to spend | The finance management was not good and there language are very bad
581,Greater Noida Institute of Technology (Engineering Institute),3.7,The library facilities is good and you can request any type of book | The teachers are very supportive they always wants good for students. | The library facilities is good and you can request any type of book,In gniot Hostel miss food is very bad oily foods are made | Leaves for festival are not sufficient for the students who came from other states.
582,Arunodaya University,4.1,"College is in a pretty good location for me, ease of access is nice. There is a parking spot for bikes and cars, the canteen offers good food at cheap rate | There are events every now and then to promote social interaction but i stay away from them as i am studying to prepare for cat.","The compound is pretty small, and the university is very young at the moment. | The faculty and students are non punctual, the classes keep getting cancelled, and no is serious about studies"
583,Shri Guru Ram Rai University - [SGRRU],3.5,The faculty is very good and understanding. They will help you out in every situation. | Companies visit our campus from the 5th semester and hire students for training and internship opportunities. They receive a good stipend based on their skills and workload. | The faculty is very good and understanding. They will help you out in every situation.,"As not all the faculties are available on a regular basis, proper guidance and guidelines are not given to the students"
584,JSS Academy of Technical Education - [JSSATE],3.8,"The course curriculum is really good and has been updated year by year according to industry-driven requirements. | The more experienced faculty guide through every part of college, ensuring a good end result for each student. | The course curriculum is really good and has been updated year by year according to industry-driven requirements.","The course I chose is good, but it is outdated compared to the rest of the world. | They didnt actually hire them for programming. Placement in other branches was almost nil compared to the computer science branch."
