Serial No.,College Name,Info
511,CT University - [CTU],no data found
512,Malla Reddy College of Engineering for Women - [MRCEW],"Malla Reddy College of Engineering for Women (MRCEW), Hyderabad was established in 2008. It is a constituent college of Malla Reddy Group of Institutions (MRGI). MRCEW only offers UG courses under streams like Electronics and Communication Engineering and Computer Science and Engineering. It is Authorized by the All India Council for Technical Education (AICTE) and proclaimed as a Prominent Institution by the University Grants Commission (UGC), Government of India. It is affiliated to JNU University Hyderabad (JNTUH), Hyderabad. Entrance is the basic selection criteria for the two B.Tech. courses offered here."
513,Adichunchanagiri University - [ACU],"Adichunchanagiri University is a private State university in Mandya, Karnataka. The college is approved by the UGC and was established in 2018."
514,Bhabha University - [BU],"Bhabha University is situated in Bhopal, the city of lakes and capital of Madhya Pradesh, Bhabha University. It was established in 2003 by the Act of Madhya Pradesh and is sponsored by Ayushmati Education and Social Society. | Bhabha University offers 14 UG, 10 PG and 6 Diploma programs. It also offers Doctoral programs in 6 different fields."
515,Sant Baba Bhag Singh University - [SBBSU],no data found
516,Shivajirao Kadam Group of Colleges,"Shivajirao Kadam Group of Colleges, Indore was established in the year 2009. It offers a selected set of courses at the undergraduate and postgraduate levels in various branches. The institute also offer Diploma programmes in Pharmacy."
517,Rai University - [RU],"Rai University is a private university established in the year 2012 Gujarat State Legislature under Gujarat Act No. 12 of 2012. The institute is located at Saroda, Dholka Taluka, Ahmedabad, Gujarat. Rai University is approved by the University Grants Commission of India and AIU. It offers various undergraduate and postgraduate courses in the School of Arts, Science, Commerce, Management and Technology. The institute is quite popular for its management programme as they offer various specialisations in their MBA programme. Admissions to the MBA programme are based on graduation marks which are followed by interviews. University admission forms are available online on their official website and can be collected in person from the university campus. Scores of national and state examination shall be considered for admission. | Direct Link to Apply for Rai University Admission"
518,Shri Krishna University - [SKU],"Shri Krishna University (SKU), Chhatarpur, MP, established in the year 2018 is a state private university duly recognized by UGC, Government of MP, MP Private University Regulatory Commission and other regulatory bodies such as NCTE, PCI, INC, BCI etc. Shri Krishna University is an institution which is rightly considered one of the greatest contributions of the peoples of Madhya Pradesh cultural heritage. The main activities of the University in the fields of higher education and scientific research are the activities of public interest, and they are carried out with the help of legal regulations. The university offers an affordable fee structure along with a number of scholarships to the students. | The university has a total number of 16 different Faculties which offer 701 different courses on Bachelors, Masters, PhD, MPHIL, Diploma, and Certificate courses along with the full-time and part-time degree courses, regulated under NPE."
519,Anand Institute of Higher Technology - [AIHT],"Anand Institute of Higher Technology (AIHT) is located in Chennai, Tamil Nadu. It is affiliated to Anna University and is approved by AICTE, New Delhi. | 2.1 Eligibility & Selection Criteria"
520,Arunai Engineering College - [AEC],"The college provides courses for the graduation and post graduation courses. The institute has the strength of about 2492 students. The college provides a total of 17 courses, in which 11 courses are for undergraduates, and 6 courses are for post graduation. At UG level they offer BE/B.Tech program, while at PG level college offers ME/M.Tech and MBA program. | Arunai Engineering College was established in 1993 and located at Tiruvannamalai in Tamil Nadu state.. The college is accredited “A” grade by the NAAC."
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"Bharati Vidyapeeth College of Engineering (BVCOE), established in 2001 is a private college affiliated to the Shivaji University, Kolhapur. The college is situated near Chitranagari, Morewadi, Kolhapur. It is accredited with ‘Grade A’ by NAAC."
522,DMI College of Engineering - [DMICE],DMI College of Engineering was established in the year 2001 and is located in Chennai. The college is affiliated with Anna University.
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"Dayananda Sagar Academy of Technology and Management (DSATM) was established in the year 2011 and is situated in Bangalore, Karnataka. The college is affiliated with Visvesvaraya Technology University, Belgaum. | The college runs BE program of four-year duration with 6 discipline, B.Arch. course of five-year duration, MBA course of two-year duration and MCA program of three-year duration in its curriculum."
524,Dhole Patil College of Engineering - [DPCOE],"Dhole Patil College of Engineering Pune or DPCOE is a private institution, set up in 2008 to impart education in Engineering and Management. Only recently, it was awarded an A+ with 3.38 CGPA by the NAAC. DPCOE has also received the Rotary Professional Excellence Award for the Best Urban College in Education. This college offers courses in affiliation with Savitribai PhulE Pune University, to enhance the potential of students pursuing Engineering. | Dhole Patil College of Engineering Pune offers 6 specialized degrees in B.E. While, only 5 major specializations in MBA are offered to eligible students. Admissions are strictly entrance based for B.E. and MBA programs, and both entrance and merit based for M.E. degree programs. Students must qualify JEE Main/MH-CET for B.E. admissions, and MH-CET/CAT/MAT/AMIE for MBA admissions."
525,Don Bosco Institute of Technology - [DBIT],Don Bosco Institute of Technology (DBIT) Bangalore was established in the year 2001 and is affiliated to Visweshwaraya Technological University (VTU). The college offers B.Tech program at UG level and M.Tech and MBA program at PG Level.
526,Dronacharya Group of Institutions - [DGI],"Dronacharya Group of Institutions (DGI) was founded in 2006. The institute is located in Greater Noida. DGI is affiliated to Dr. APJ Abdul Kalam University. The Dronacharya Group of Institutions provides B.Tech courses in eight Specializations at the undergraduate level. The institute offers MBA courses at the postgraduate level. The annual admission for B. Tech courses is 540 students, and the intake for PG courses is 60 students."
527,Gandhinagar Institute of Technology - [GIT],"Gandhinagar Institute of Technology (GIT) is a Private Institute located in Gandhi Nagar, Gujarat and was established in the year 2006. | The Institute is affiliated with Gujarat Technological University (GTU), Ahmedabad and is also approved by All India Council of Technical Education (AICTE)."
528,HMR Institute of Technology & Management - [HMRITM],"HMR Institute of Technology & Management (HMRITM) was established in 2002. Located in New Delhi, the institute provides B.Tech degree at UG level, MBA and MCA degree at PG level. HMRITM is affiliated to Guru Gobind Singh Indraprastha University (GGSIPU). | The intake for PG courses is 60 seats, whereas the intake for B.Tech varies in every branch from 60 to 180 seats."
529,Indore Institute of Science and Technology - [IIST],"Indore Institute of Science and Technology, commonly abbreviated as IIST Indore, is a research and education institute for engineering, science and technology. It is located in Indore and was established in the year 2003. The college is affiliated to Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal for engineering programs and is recognized by Directorate of Technical Education, Government of Madhya Pradesh and all courses are approved by AICTE. | Indore Institute of Science and Technology offers wide range of Technical courses in the fields of Mechanical, Electronics and Communication, Computer Science, Information Technology, Civil and Chemical Engineering at UG level and Machine Design, Computer Science & Engineering and Digital Communications at PG level."
530,KSR College of Engineering,"Affiliated to Anna University, K.S Rangasamy College of Engineering was established in 1994. It is located in Tiruchengode, Tamil Nadu. K.S Rangasamy College of Engineering has the 9th largest intake of students of the self-financing engineering colleges in the state. Further, it has been ranked 2nd in Anna University Examinations."
531,Loyola Institute of Technology - [LIT],"Loyola Institute of Technology was established in 2003. The institute is located at Chennai, Tamil Nadu. It is an AICTE approved institute and is affiliated to Anna University, Chennai."
532,Lucknow Institute of Technology - [LIT],"Lucknow Institute of Technology was established in the year 2008. The Institute is approved by AICTE, New Delhi. It is affiliated to AKTU, Lucknow | Lucknow Institute of Technology offers B.Tech. (Regular and Lateral) degree course at the undergraduate level and MBA and M.Tech degree at postgraduate level. The institute also offers Polytechnic Diploma in Engineering of two-year duration."
533,Madha Engineering College,"Madha Engineering College was founded in the year of 1998 in Chennai. The college affiliated with Anna University Chennai. | At the UG level, college offers BE and B.Tech. programs. At PG level, Madha Engineering College offers ME, MBA and MCA programs."
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"Established in 1997, Maharaj Vijayaram Gajapathi Raj College of Engineering is an autonomous college situated in Vizianagaram, on the coast of Andhra Pradesh. It is a UGC-approved institute that has been accredited with an ‘A’ grade by NAAC; its undergraduate courses have been accredited by NBA. MVGRCE has an accomplished faculty: of its 228 members, 130 are PhD holders. | MVGRCE offers three courses: B.Tech, M.Tech and MBA. Under the B.Tech course, it offers seven specializations; while under the M.Tech course, it offers five specializations."
535,Manav Rachna University - [MRU],"Manav Rachna University (MRU) was established in the year 2004 and is the front-runner Institution of Manav Rachna Educational Institutions (MREI). Situated in Faridabad, Manav Rachna University offers numerous courses in Engineering, Management Programs, Applied Sciences, Humanities, Law, and Education. Research facilities are also available for the aspiring students. | Read More About: Manav Rachna University (MRU) Course & Fee Structure"
536,Orissa Engineering College - [OEC],"The institute is affiliated to Biju Patnaik University of Technology (BPUT) and has its main campus at Harirajpur in Bhubaneshwar district of Orissa. Orissa Engineering College offers a total of 6 B.Tech. degrees under the UG domain. The institute also offers a B.Tech.through lateral entry for Diploma students.  Under the PG domain the institute offers 2 M.Tech. degrees.  Apart from these, Orissa College of Engineering also grants a degree in MBA which is offered by the Centre for Management Studies."
537,RD Engineering College,"R.D. Engineering College (RDEC), Ghaziabad is a private institution which was established in the year 2006 by the Rameshwar Dayal Educational Trust. | The institute has been founded as a self-financing institute which is located in scenic lush green eco-friendly surroundings and is spread over an area of 15 acres."
538,Sri Indu Institute of Engineering & Technology - [SIIET],"Sri Indu Institute of Engineering and Technology is located in Rangareddi, Telangana and is affiliated to Jawaharlal Nehru Technological University, Hyderabad. | Sri Indu Institute of Engineering and Technology offers B.Tech course at the UG level and the M.Tech and MBA courses at the PG level."
539,Rajalakshmi Institute of Technology - [RIT],"Rajalakshmi Institute of Technology (RIT) is a prestigious educational institution located in Chennai, Tamil Nadu and it was established in 2008 by the Sabri Foundation Educational Trust. It is an Autonomous institution for B.E. / B.Tech in the fields of Engineering. All applicable departments have attained NBA accreditation. The college is affiliated to Anna University, Chennai and it is accredited with AICTE. | Rajalakshmi Institute of Technology currently offers B.E. and B.Tech courses with a number of specializations. The candidates from Tamil Nadu state who have completed their 10+2 level from another state must produce a certificate of Nativity in order to seek admission under the community quota."
540,Rajasthan Institute of Engineering and Technology - [RIET],"Rajasthan Institute of Engineering Technology, Jaipur was established in the year 2000 and is affiliated to Rajasthan Technical University. It has been accredited by the NBA. | RIETJ invites application for admission to its flagship course i.e., B.Tech under 8 specializations. The candidate should have finished 10+2 in the Science stream for admission to B.Tech."
541,Rajshree Institute of Management and Technology - [RIMT],no data found
542,SSM College of Engineering - [SSMCE],"SSM College of Engineering was established in 1998 and is affiliated to Anna University, Chennai, and recognized by the University Grants Commission (UGC), New Delhi. It imparts quality education in the fields of Engineering and Management. | SSM College of Engineering offers undergraduate programs in engineering under five different specializations. It also offers postgraduate programs in engineering and management such as Master Of Technology (M.Tech.) and Master Of Business Administration(MBA). All of its courses are approved by the All India Council for Technical Education (AICTE), New Delhi."
543,Sam College of Engineering and Technology - [SAMCET],"The institute offers BE and Diploma programs in Engineering at the undergraduate level for a duration of 4 years and 3 years respectively. The intake for BE and Diploma programs is 60 seats per course, with the only exception being Mechanical Engineering which admits 120 students per year.SAM College of Engineering and Technology (SAMCET) is a reputed college of the SAM Group. It is located in the state of Madhya Pradesh. It provides various professional courses like BE, Diploma, M.Tech, MCA, and MBA. | Direct Link to Apply for SAMCET Admission"
544,Sanghvi Institute of Management and Science - [SIMS],"SIMS offers educational programmes in the field of Science, Engineering, Commerce and Management approved by All India Council for Technical Education. | Sanghvi Institute of Management and Science is one of the top private institutions for higher studies in Indore, Madhya Pradesh. The college is recognized by the Directorate of Technical Education, Maharashtra. It was established in year of 2006 and located in Indore Madhya Pradesh. SIMS is affiliated to Devi Ahilya Vishwavidyalaya Indore."
545,Sarvajanik College of Engineering and Technology - [SCET],"Sarvajanik College of Engineering and Technology (SCET), is located in the city of Surat, Gujarat. The college offers degree courses of B.E, M.E and MCA. All programs are affiliated to Gujarat Technological University (GTU)."
546,Seacom Engineering College,"Seacom Engineering College was established in 2006. Located in Sankrail, West Bengal, it is one of the best technical institutes in the state and is spread across a campus of 11.5 acres. | Seacom Engineering College is affiliated to Maulana Abul Kalam Azad University of Technology, Kolkata and offers courses in Engineering and Management. It provides undergraduate courses in various streams/ branches in Engineering and postgraduate courses in Computer Applications and Business Administration."
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"Seth Jai Parkash Mukand Lal Institute of Engineering and Technology, previously named JMIT Radaur is a privately owned engineering college, under affiliation to Kurukshetra University. | JMIT offers a four-year undergraduate B.Tech course and two-year postgraduate M.Tech course. The institute also offers MBA and MCA programs. Three-year graduate degrees are also available for Bachelor of Computer Applications(BCA), Bachelor of Business Administration(BBA), and two-year courses for Mater of Business Administration (MBA)."
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"Shah and Anchor Kutchhi Engineering College was established in 1985 and is managed by Mahavir Education Trust. The college is approved by AICTE, New Delhi and D.T.E., and is affiliated to University of Mumbai. It also has an ISO 9001:2015 Certification. SAKEC ranked 251-300 in NIRF 2020. and awarded “A” Grade by NAAC. | The institute offers various UG and PG programmes under the discipline of Engineering and Technology."
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"Sri Indu College of Engineering and Technology (SICET) was founded in the year 2001 and is located in Sheriguda, Telangana. SICET is affiliated with Jawaharlal Nehru Technological University, Hyderabad. | The college offers four-year regular B.Tech program with 11 specializations, M.Tech program with 2 disciplines and MBA program of two-year duration."
550,Sri Krishna Institute of Technology - [SKIT],"Sri Krishna Institute of Technology was established in 2001. It is located on the outskirts of Bangalore, Karnataka. The college is affiliated to Visvesvaraya Technological University (VTU). At present, SKIT offers B.E under six specializations."
551,Sriram Engineering College - [SEC],"Sriram Engineering College offers B.E and B.Tech programs at undergraduate level. The B.E program is offered in 5 electives, i.e Mechanical Engineering, Electrical & Electronics Engineering, Electronics & Communication Engineering, Computer Science & Engineering, and Automobile Engineering. | The B.Tech program is offered in 2 electives i.e Chemical Engineering and Artificial Intelligence & Data Science."
552,St. Thomas College of Engineering and Technology- [STC],"St.Thomas College of Engineering & Technology, Chengannur is one of the Top Engineering Colleges in Kerala and is affiliated to APJ Abdul Kalam Technological University, Thiruvananthapuram. The college offers only two undergraduate courses, i.e, BTech and BTech Lateral Entry. The selection criteria for admissions to both these courses is based on one's merit in the KEAM entrance exam."
553,Swami Vivekananda Institute of Science and Technology - [SVIST],"Swami Vivekananda Institute of Technology [SVIST], established in the year 2008, is a private technical institute located in Kolkata, West Bengal. The institute is affiliated to Maulana Abul Kalam Azad University of Technology. It is an AICTE approved institute. | Swami Vivekananda institute offers undergraduate courses in various disciplines and also offers a 2-year MBA course."
554,Techno International New Town - [TINT],"Techno International New Town offers education in the field of Engineering, Science, and Computer at both undergraduate and postgraduate levels. The courses offered at UG level are B.Tech in 7 different specializations, BBA, B.Sc in 2 different specializations, and BCA. While under PG domain courses offered at TINT are M.Tech in Electrical Engineering, MCA and M.Sc. | TINT Kolkata conducts its admission process through proper National/ State level Entrance Exam score and counseling process."
555,Theem College of Engineering - [TCOE],"Theem College of Engineering offers as many as 540 students in its Engineering courses like B.E., B.Tech and Polytechnic Diploma courses. The admissions are entrance based and students can apply online on the website. | Course wise details have been provided in the following section for reference:"
556,Xavier Institute of Engineering - [XIE],"Xavier Institute of Engineering (XIE), Mumbai was established in 2005. It offers admissions to B.E degree in various specializations on the basis of MHT-CET and JEE Main scores."
557,Velammal Institute of Technology - [VI-Tech],"Velammal Institute of Technology is a private institute, established in 2008 which is functioning from its campus located at Kolkata Highway, Panjetty, Tamil Nadu. | The institute is affiliated to AICTE and is affiliated to Anna University, Chennai. VI-Tech offers B.E under 4 specialisations and B.Tech programme under 1 specialisation. Admissions are on the basis of the TNEA counselling."
558,Vignan's Institute of Information Technology - [VIIT],"Vignan’s Institute of Information Technology (VIIT) is a private institute established in 2002. The institute is located in Vishakhapatnam, Andhra Pradesh. | Vignan’s Institute of Information Technology offers B.Tech courses in a number of specializations. The institute also offers M.Tech, MBA and MCA programs. The annual intake for UG courses is 1140 and for M.Tech, the intake is 126 students. For MBA and MCA courses, the annual intake is 120 and 60, respectively."
559,Knowledge Institute of Technology - [KIOT],"Knowledge Institute of Technology (KIOT) is a premiere educational institution located in Salem, Tamil Nadu. It was established in 2009 and is affiliated to Anna University, Chennai. | KIOT offers undergraduate, postgraduate and Ph.D. level degree courses in various disciplines of engineering. The courses offered by Knowledge Institute of Technology are approved by the All India Council for Technical Education (AICTE). The institute itself is accredited by the National Assessment & Accreditation Council (NAAC) with “B++” Grade."
560,Vasireddy Venkatadri Institute of Technology - [VVIT],"Vasireddy Venkatadri Institute of Technology (VVIT) was founded in the year 2003 and is located in Nambur, between Guntur and Vijayawada, Andhra Pradesh. | Vasireddy Venkatadri Institute of Technology offers full-time B.Tech course in six specializations, MCA course and a full-time M.Tech course in six specializations."
561,Sushant University,Sushant University - Erstwhile Ansal University Gurugram was established in 2012 under the Haryana Private Universities Act 2006. The university offers several courses in various specializations to the aspiring candidates who wantto pursue their careers as per their interest in a better future. Sushant University offers courses under 8 schools: | 2.1 Eligibility and Selection Process
562,William Carey University - [WCU],no data found
563,Career Point University - [CPU],"Career Point University (CPU) located in Kota, is a private university which was established in 2012 by Rajasthan State legislature council “Career Point University Act”. | The institute provides various undergraduate and postgraduate courses which include courses provided in the field of engineering, commerce, management, computer application, arts and humanities, legal studies, applied sciences and education."
564,SRMIST Delhi NCR Campus,"SRM Ghaziabad offers a host of UG, PG & Ph.D courses in various departments to aspiring students. Admissions to various courses offered by SRM Ghaziabad are done on the basis of CAT/ XAT/ MAT/ GMAT/ JEE Main or SRMJEEE/ SRMJEEE (PG) entrance examinations. At the UG level, the institute offers B.Tech, B.Sc., BBA & B.Pharm courses. At PG Level, SRM Ghaziabad offers M.Tech, MBA & MCA. Besides offering courses at UG & PG levels, SRM Ghaziabad also offers Ph.D and diploma courses as well. | Check More: SRM Ghaziabad Courses & Fees"
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]","Chhotubhai Gopalbhai Patel Institute of Technology, Bardoli offers education in the field of Engineering at UG, PG, and Doctorate level. The course available at UG level is B.Tech in 10 specializations, at PG level CGPIT offers M.Tech in 9 specializations. Institute offers Diploma in Engineering in 4 specializations and a Doctorate program in 3 specializations. | CGPIT Surat conducts its admission process through the proper State Level Entrance Exam and counseling process."
566,K.S. School of Engineering and Management- [KSSEM],"KSSEM Bangalore is well known for its B.E program. Admissions to the program are offered based on the KCET entrance examination. The Karnataka Examination Authority (KEA) conducts the Common Entrance Test (UGCET) and the Consortium of Medical, Engineering, and Dental Colleges of Karnataka (COMEDK) administers the Undergraduate Entrance Test (UGET) for admission to UG courses. Admission to Management Quota seats is determined by the candidate's merit and position in any of the JEE, UGET, or UGCET entrance exams. The Karnataka Examination Authority (KEA) conducts the Post Graduate Common Entrance Test (PGCET), which is the entrance exam for postgraduate degrees. The Management Quota seats are awarded based on merit and the rank attained in the PGCET or certified GATE SCORE entrance exam. | Check More: KSSEM Bangalore Courses & Fees"
567,Vivekananda Institute of Technology - [VIT],"Vivekananda Institute of Technology, (VIT) was established in 2008 by the prominent 'Bagaria Education Trust'. The college is spread over a campus area of 45 acres in Jaipur. VIT Jaipur offers B.Tech. in 5 specializations. It also offers lateral entry in the course."
568,PERI Institute of Technology - [PERIT],"PERI Institute of Technology offers technical education in five different specializations of engineering at UG level and also offers four courses at PG level. It has also been recognized by AICTE, New Delhi and affiliated to Anna University of Technology, Chennai. | PERI Institute of Technology (PERI IT) is a renowned educational institute, established in the year 2010. It was started by the PERI Educational and Charitable Trust. It aspires to provide an internationally recognized platform for young students."
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,"Vidya Pratishthan’s Kamalnayan Bajaj Institute of Engineering and Technology, Baramati is affiliated to Savitribai Phule Pune University."
570,Adhiparasakthi College of Engineering Arcot - [APCE],no data found
571,SRM Institute of Science and Technology Ramapuram Campus,"SRM Institute of Science and Technology, Ramapuram is a private University located in Chennai and was established in the year 2002. SRM Educational establishments have associations with international universities and colleges in USA, UK, Korea, New Zealand, Switzerland etc. | SRM Institute of Science and Technology offers various undergraduate courses in B.Tech., B.Sc., B.Com., BBA, BCA, B.Arch. along with Diploma and Post-graduation courses in MBA, M.Tech., and MCA. The University also extends its education to Research level courses. Admission to the programs is based on the scores in the Entrance exam."
572,St. Andrews Institute of Technology and Management - [SAITM],"Start your application for St. Andrews Institute of Technology and Management Right Now. Admission Link | St. Andrews Institute of Technology and Management was established by St. Andrews Educational Society in the year of 1988. It is affiliated to Maharishi Dayanand University (MDU). At present, it offers B.Tech, BBA and BCA courses in different specializations at the UG level and MBA program at the PG level. Application form can be filled online by visiting the official website or by downloading the form followed by submission through the post."
573,CMR Technical Campus - [CMRTC],"CMR Technical Campus is located in Hyderabad, Telangana and is sponsored by CMR Technical Education Society and is affiliated with Jawaharlal Nehru Technical University, Hyderabad. | At present, CMR Technical Campus runs B.Tech, M.Tech and MBA courses at UG and PG level."
574,"SRM, Institute of Technology",no data found
575,"University College of Engineering, JNTUK","University College of Engineering, JNTUK, is an engineering college located in Vizianagarm, Andhra Pradesh. It was established in the year of 2007. At the undergraduate level, University College of Engineering, JNTUK offers B.Tech in seven disciplines. At the PG level, the college offers M.Tech in 5 disciplines. In addition to B.Tech & M.Tech, the college also offers a full-time MCA course. | Check University College of Engineering, JNTUK Cut off"
576,St.Joseph's Institute of Technology - [SJIT],"St. Joseph's Institute of Technology started operating as an institute for higher education from 2011 with five UG courses to choose from namely, B.E. & B.Tech. IT. | Located in Chennai, SJIT strives not only to meet the demands of the rapidly growing technological society, but also to create an environment where innovation and change is propagated. It is affiliated to Anna University, Chennai and is spread over 34 acres of land. The college has also been accredited by NBA (National Board of Accreditation) in 2017 in the shortest span of 6 years."
577,Ramco Institute of Technology - [RIT],"Ramco Institute of Technology offers only the BE course in the field of engineering and technology. It is affiliated to Anna University; Chennai and the courses are AICTE approved. | It offers B.E. courses in Mechanical Engineering, Civil Engineering, Computer Science Engineering, Electronics and communications and Electrical and Electronics Engineering."
578,ITM Vocational University - [ITMVU],"ITM Vocational University [ITMVU] is a Private University located in Vadodara, Gujarat and was established in the year 2014. The University is approved by All India Council of Technical Education (AICTE) and The University Grants Commission of India (UGC). ITMVU offered by the Institute are B.Tech., B.Tech. (Integrated), B.Tech. (Lateral), B.Optom., B.Sc., Diploma in Auxiliary Nursing & Midwifery and General Nursing & Midwifery., B.A., BBA, BBA + LLB, LLB, M.Com. (Integrated), MBA and Executive MBA. | Read More ITM Vocational University Fees Structure"
579,"Greater Noida Institute of Technology, IPU - [GNIT]","Greater Noida Institute of Technology (GNIT) is located in Greater Noida, Uttar Pradesh. It offers courses at UG level in various specializations. The college is affiliated to Guru Gobind Singh Indraprastha University, New Delhi."
580,Netaji Subhas University - [NSU],"Netaji Subhas University is currently accepting applications online. The university offers education services at the undergraduate and postgraduate levels. It provides programs in the fields of Allied Sciences, Mass Communication, Engineering and Technology, Law, Pharmacy, IT, Business and Administration, Music, Hospitality and Training. | Netaji Subhas university students were offered an average package of INR 3.5 lakh per year and the highest package of INR 6.00 lakh per year. Some of the leading and prominent recruiters include Airtel, TCS, Big Bazar, IndusInd Bank, Deloitte, Genpact India, Bharat Forge, IDBI Federal, Flipkart, NJ Finance, Ashiana Housing, Karvy, Lotus Herbals, Idea, Bajaj Finserv, ICICI Bank, Just Dial, Tata Motors and many more."
581,Greater Noida Institute of Technology (Engineering Institute),"Greater Noida Institute of Technology, also known as GNIOT became operational in 2001 under Dr. A.P.J Abdul Kalam University. Developed by Shri Ram Educational Trust, the institute is AICTE approved. Applicants seeking admission in the institute can select any of the courses from M.Tech, MBA and MCA. Admission to all the courses is done through CUET PG counselling based on the score obtained in the CUET PG exam. BTech courses admissions are based on JEE Mains score followed by UPTAC Counselling. | The placement cell offers training, placement drives and internship opportunities with over 300 recruiters on board. Some of the top companies include Accenture, Genpact, Godrej, Reliance and Infosys. The average salary package offered is 3-4 lakhs per annum."
582,Arunodaya University,"Arunodaya University was established in 2014 in the city of Itanagar, Arunachal Pradesh by the State Legislature. The institute is affiliated by the AICTE and approved by the UGC. | Arunodaya University offers admissions to a wide range of degree programs under the discipline of Technology, Science, Arts, Commerce, Computer Applications, Law, Social Work, and etc."
583,Shri Guru Ram Rai University - [SGRRU],"Shri Guru Ram Rai University (SGRRU), Dehradun offers education in the field of Basic Applied science, Agriculture, Management, Commerce, Humanities & Social Science, Paramedical Science, Nursing, Medical, Education, and Doctoral. | SGRRU also offers a doctorate program in 10 different fields. In Diploma, SGRRU offers ANM, Diploma (Guidance and Counseling), and GNM. Students can apply online as admission forms are released every year."
