Serial No.,College Name,Scholarship Info
503,Srinivas University,"Fees structure- 350000 Registration fees,admission fees,lab fees and course fees are aroundtotal amount of 400000 In other courses fees are above 400000 More scholarships are available for students upto 10000"
504,East West College of Engineering - [EWCE],There is separate fees for CET students and management seat students. If you selected through CET then vtu fees will be 60000 and if u got seat through SNQ it will be 4000 and college fees will be 30000 and hostel fees will be 60000 for management students including all the feeses approximately 2 lakhs per year. There is no scholarship from college side but we can get it through govt as per category ssp nsp etc.
504,East West College of Engineering - [EWCE],As of know I have joined through management quota hence fees forn1 year or for 2 semesters was 125000 I didn't get any of the scholarship because I'm form out of Karnataka. There is no campus placement
504,East West College of Engineering - [EWCE],For ECE course 110000rs from cet and for management 175000rs for first year and 125000rs for other three years.and for schoolarship from ssp we get 19600 and it depends upon which category we belong to.
504,East West College of Engineering - [EWCE],Fees is bit high and cost of studying is 90000 and every student if eligible get Ssp scholarship from Karnataka Govt. Job we didint get but We did internship from assistance of our Hod sir .every student will enjoy
504,East West College of Engineering - [EWCE],We can study through educational loans and fees now it is very much compared to previous years and scholarships schemes are also there and every students will get that if they apply but when it comes to job placements stipend no assurance from their side simply they will tell that they provide everything but that's not true
505,Global Group of Institutes,I'm a student of Global Group of Institute. I took admission in this college in year 2022 at that time the fees of the btech CSE was 127000/year with hostel. Now the course fees has been increased for all departments.
505,Global Group of Institutes,"The Year wise fees I paid was Rs.39500, It is Semester Based Fees system where we have to pay fees after the end of every semester. It included the Tution fees, Transportation fees, Admission Fees and Prospects Fees (Rs.1000). There was Reservation for SC,ST and other quotas too. There is Scholarship program for SC/ST which allows them to Study in College for Free without any Fees of any Availability."
505,Global Group of Institutes,"There was no such thing as increased fees, as fees once decided go till the end of the course. My total semester was 48000 so after 8 semesters, my fees were 384000. No scholarships. I have taken one internship at the Nth Bit Labs as a Digital Marketing Intern with a 15k stipend."
505,Global Group of Institutes,The tuition fees is almost appropriate but their are some extra expenses. All over for diploma my 1 semester fees was 20000 with transportation including. Per semester we pay examination fees that varies from 900 -1100. We had to pay a compulsory amount of 2500 for the uniform.
505,Global Group of Institutes,"Tution fee do not increase once a pakage is alloted to a student overall fee structure is affordable. Fee should be paid on time . complete cost of this course is 5laks , scholarship is alloted to other states students."
506,Priyadarshini College of Engineering - [PCE],"So Basically if you want to take admission according to your caste, i.e. sc, st,obc, or open. You have to pay Different Fees according to your caste. If you are sc then you have to pay only 2100rs Yearly because u get the government scholarship and the government pays the rest of the Fees for college. If you are st category students then u have to pay only 1800rs yearly because u get the government scholarship and government pay Ur rest of the Fees to college If you are Obc category students then u have to pay Half of the Fees yearly and Government pay Ur rest of the Fees to college And if you are Open/ management students then u have to pay full amount to the college"
506,Priyadarshini College of Engineering - [PCE],"So the cource fee of electronics and communication in PCE NAGPUR is around 98k for open cast which includes development fees which is 16109 rupees, student insurance of 800 rupees , other fees is 3500 and the remaining is the tution fees. Now, the scholarship is provided to every individual of each cast through MAHADBT portal. In this scholarship portal , 50 percent of the fees will be paid by the government and remaining 50 percent fees will be paid by the student, and very few amount of scholarship will be credited to the student's provided Bank account which may vary on the cast . I'm a open catagory student, so my current fees is 49000 rupees per year, and the scholarship amount that have been given to my bank account is 2060 rupees."
506,Priyadarshini College of Engineering - [PCE],The fees structure of our college is such a way that all the student Don’ts have same fees as the general student here have the highest fees and the lower caste people have less fees as this is discrimination
506,Priyadarshini College of Engineering - [PCE],As i belong to lower category i get scholarships but to our they have to give full fees. There is a admin block in our campus where all the issues related to fees examfees new sem admission scholarships are solved properly.
506,Priyadarshini College of Engineering - [PCE],"If you are a student who is from the open category then the fee structure lies approx 2,00,000 & if you are from reserved categories then the fee structure is comparatively around 45 to 50,000. Also, the open category students can apply for various schemes such as ews, minority, tfws & scholarship schemes whereas for the reserved category and obc category students the scholarship schemes are available. If you are a student under a scholarship and you are from the open category then you have to pay an amount up to 80,000 and if you are from the reserve category and under the scholarship scheme then you have to pay an amount such as a minimum of 1000 & obc category students upto 40,000. I'm an open candidate under the tfws category so the amount payable for every year is around 15,000."
507,Jeppiaar Institute of Technology - [JIT],"The total fees per year was around 1,10,000. It differed from one to one . College do provide scholarships. And my total fees came upto 5.5 lakhs including the semester fees for exams and all the other stuffs."
507,Jeppiaar Institute of Technology - [JIT],"I pay 150000 per year , for candidates of sc and st category our college provides scholarships to reduce the fee amount and for merit students college also provides no fee course for 4 years. Fee differ as per the percentage of students"
507,Jeppiaar Institute of Technology - [JIT],I guess that this college having less fees compared to other colleges . They are providing many scholarship . If you come from sports no fees for the sports person. If you come from councelling the fees will be very less. They also providing minority scholarship and bc/MBC scholarship etc .. from tha college they also providing help for the students in many ways
507,Jeppiaar Institute of Technology - [JIT],"Fees remain constant for all four years for my batch, but for my next Batch the cost of the fee gets slightly increased the cost is 140000 per year I got placed in an It company with a package of 5.5 lpa."
507,Jeppiaar Institute of Technology - [JIT],Iam opted For education loan.they will ask for which course you going to choose and what is the fee structure for four years etc.
508,Seacom Skills University - [SSU],"Management and body of this university maintained many scholarship (State govt. as well as Central govt.). And students get this opportunity but only for Ph. D students, they have no scholarship facilities."
508,Seacom Skills University - [SSU],"Fees structure is given from the college which may be changed year by year. In 2022-2, total 4,20000 is needed for completing the course. Those student got 60% on their both semester are eligible for Swami Vivekananda Scolership which give us 60000 per semester"
508,Seacom Skills University - [SSU],Student credit card is also available in this course and also help the scholarship to this course and to this course per year the amount is also needed 1 lakh. All scholarship is available in our college.
508,Seacom Skills University - [SSU],"I had applied for B.pharm course with a fees 375000 for 4yrs course and currently it is costing around 500000. I had applied for aikyashree scholarship and it provides 27500 per year. Job are provided in Production, retail ,IT sector and marketing."
508,Seacom Skills University - [SSU],"When I had taken admission in our college the fees was around 3,75,000 rupees .After 3yrs fees has abruptly increased to 5,00,000 rupees. I avail merit cum scholarship and it provides ?27,500 per year . There are many field like production, It , marketing etc and it provides around ?10,000 to ?20,000"
509,SRM University,"SRM scholarships are awarded based on academic accomplishments, sports and cultural excellence. Means scholarships are also available for economically challenged and differently-abled students."
509,SRM University,"SRM scholarships are awarded based on academic accomplishments, sports and cultural excellence. Means scholarships are also available for economically challenged and differently-abled students."
509,SRM University,SRM Founder’s Scholarship
509,SRM University,SRM Merit Scholarships
509,SRM University,Other Scholarships
510,University of Technology - [UOT],If i tell you about fee structure that is around 10000 for (Bachelor of Arts) students. For the other courses I don't know. It also provides hostel for students that charges 500 for a day. The yearly fee for hostel maybe around 180000
510,University of Technology - [UOT],20000 fees yearly for full course of BCA. There are so many different types of courses. And the university campus is also so big and placements are also available with different companies and hostel facility is also available.
510,University of Technology - [UOT],"Scholarship Regarding Financial Assistant Jobs in College Regarding internships, the same companies like Tata Hui and Amazon come, many companies come, if you take admission then it will be very good for you."
510,University of Technology - [UOT],"Scholarship facility was provided by our university. There are many scholarship like scholarship on basis of merit, Girl child Higher Education Promotion Scheme, special scholarship for Education promotion in specific regions, Scholarship for defence wards, Minority scholarship, physically handicapped scholarship etc."
511,CT University - [CTU],My fees was 45000 per semester and additional 18000 was taken for uniform. If one is sc in caste he/she will get 100% scholorship. You can take scholorship by giving a test called CT SET. You fees per semester can get discount of maximum 20000 by ct set
511,CT University - [CTU],"The course fees is starting from ?20000 per semester and is continuous rising to 30000 from the next batch. The year wise semester fees will be around 40000- 50000. There are also certain amounts to be paid like library charges, uniform charges, prospectus charges and others which the college with inform after admission.the hostels is a bit costly around 60000 per semester of we want to stay comfortably. 60000 - 2 seater non ac +2500 for attached washroom +5000 - for ac room 40-50k for 3 seater - non ac common washroom"
511,CT University - [CTU],i'm persuing a 3 year bachelor's degree here (BSc. ATM Airlines and Tourism Management) and i'm paying 45k per semester plus examination fee and other extra charges like uniform and any in campus events or trips .
511,CT University - [CTU],"The fee structure varies based on the different courses you choose. The fee is affordable and college conducts scholarship exams every year. Top scorers get up to 90% scholarship benefits. The other scholarship program is only for SC students they get 100% scholarship,"
511,CT University - [CTU],"The year- wise fees 90,000. Tuition fees,caution fees,registration fees,admission fees,lab fees is 10,000. the fees of my batchmates is same as mine. All my scholarships money is paid by the government.My scholarship portal name is Dr.Ambedkar (Governmanet of punjab)"
512,Malla Reddy College of Engineering for Women - [MRCEW],"The year-wise fees i paid is 68000/- Tuition fees and all other types of fees are included in the above amount Transportation fees is 40,000/- irrespective of the distance Management quota students are charged 1 lakh per year For SC, ST students who are eligible for schools has to pay 60,000/- and it will be reimbursed to their respective accounts 5000/- will be awarded to eligible students"
512,Malla Reddy College of Engineering for Women - [MRCEW],The year of fee is 70000 in our college.paying of yearly ones. I am bc- d candidate.admission fee is 10000. The batchmates of category is scholarship. Scholarship is provided the government of Telangana
512,Malla Reddy College of Engineering for Women - [MRCEW],"Yearly fee for 90000 Schollership will be taken by college management Management seat we should pay 1,20,000 per year for CSE branch For sc,St, students they will get scholarship those who got 10,000 below rank in emcet and 1000 below rank in emcet They need to pay 15000 per year The college miscellaneous fee is about 15000 per year"
512,Malla Reddy College of Engineering for Women - [MRCEW],"For Management, The fee for one semester is 2 lakh per annum, and for people who joined over competitive exams are below, the fee are 1lakh and the people who are Scheduled Caste/Tribe fees are very lower compared to Management and Competitive, it's 5000 per year. And there are also uniforms and lab records which we have to pay for, the fee for the lab records for first semester is 2700 and for second semester is 1600 and for uniform it is 3500"
512,Malla Reddy College of Engineering for Women - [MRCEW],"Once a year, for every festival, one or the other fest will be arranged by our college management. Many books and journals are available in the college library. It is well spacious and even equipped with a digital library, where u get free access to computers along with the Internet. Along with that there are many students organized clubs, managed by faculty heads too like musically, the essential, ccbv, etc."
513,Adichunchanagiri University - [ACU],"we should pay the fees of around 2lakhs 60 thousand that is one lakh seventy thousand is for the college fee which includes all the categories like university fee lab fee id card and all. And the hostel fee is eighty-five thousand. This is for the government fee and for the private seat it is 18 lakhs and for management seat, it is around 35 lakhs. The hostel fee is the same for all the students. The scholarships we should apply year wise and they will come within that year or in tbe next year we will get around 60 thousand."
513,Adichunchanagiri University - [ACU],Fee: 175000 Fee for pvt seat is around 1800000 Fee for managemeng seat is around 2000000 Sc and st dont have a concession in fee but they do get reserved seats Hostel fee for girls hostel is around 85000
513,Adichunchanagiri University - [ACU],A private seat student under the gender category and pays 1800000 per year. Students who joined under the government quota are paying a fee of 150000 per year Students who come under a reservation category need lesser marks in the NEET exam to be eligible to join MBBS in any college Management seat students pay based on an agreement with the administration and the fees for them can go upwards of 25 lakhs per year. I would say it is an expensive course but it could be worth it if one has interest in bringing joy in other people's lives
513,Adichunchanagiri University - [ACU],I am paying 144000 change for my college per year. I get scholarship from my state called ssp. I have to pay hostel fees too whc costs 85000 per year. For my complete course i will be paying the same every year so the fees doesnt increase or decrease.
513,Adichunchanagiri University - [ACU],"Adichunchanagiri college offers 3 categories of seat, government seat, private seat and management seat. The government seat cut-off was 540/720 in NEET 2022, and the fees for this was a around 1 lakh 90 thousand (for my batch). The private seat cut-off was 230/720 in NEET 2022, and the fees being 18 lakh 45 thousand, and lastly management seat has no minimum mark requirement in NEET, and the fees for this is around 35 to 40 lakh per year. Fees for 2024 batch has increased significantly and it is nearly 20+lakh for private and 40+lakh for management."
514,Bhabha University - [BU],The fees of my course is budgetely because in other college the fees of bba is costly it is normal I didn't get any scholarship in my college or any financial assisstance or any job in college campus
514,Bhabha University - [BU],"My fee structure for the bachelor of the computer application program is 20000 per year. I am from out of Madhya Pradesh so I am falling in a general category, so there is no scholarship from the mp govt, campus provides some inter opportunities also"
514,Bhabha University - [BU],"Scholarship and concession is offered to those students who either belong to the OBC, ST/SC category. Loan facilities are also available in the college and if any student wishes to study on education loan, he or she can get it passed from a recognised Bank."
515,Sant Baba Bhag Singh University - [SBBSU],The biggest reason to enroll in this university is that it's totally budget friendly and helps us out through great opportunities. Even if you have good grades in your high school in class 12th you will also have some concession in your first semester fees. Even the university provides scholarship to sc/st of punjab and himachal pradesh students .
515,Sant Baba Bhag Singh University - [SBBSU],Scholarship by SBBSU Scholarships scheme II-For 2500 Differently abled students Apply online for scholarship for differently abled Scholarship Schemes Scholarship: Meritorious Scholarship Single Girl Child Scholarship Scholarship for Parentless Students Sibling Scholarship Scholarship for Students of Sister Institutes Post Matric Scholarship Scheme to SC/ST Students Scholarship for Wards of Employee Scholarship Ward of ex-servicemen Meritorious Student for 2nd semester onwards:Sant Baba Bhag Singh University Scholarships and Funding Scholarship 1 Meritorious Scholarship: 95% and above - 100% Scholarship applicable at the time of admission. 90.1% to 95% - 50% Scholarship applicable at the time of admission. 80.1% to 90% - 35% Scholarship applicable at the time of admission. 70.1% to 80% - 25% Scholarship applicable at the time of admission. Scholarship 2 Scholarship for Parentless Students: 100% Scholarship - Subject to condition that student have to produce death certificate of both santbababhagsinghuniversity
515,Sant Baba Bhag Singh University - [SBBSU],The fee structure for this course in sbbs university is very very low and is highly affordable for everyone. It's less cost than any other university around Punjab. They charge very little in every corner. Scholarships are given as per deserves candidates are given 100% scholarship if he/she has a national participate certificate or all India in sports. Many other scholarships are also given like the needly poor St backward class. I recommend everyone must have a visit there.
515,Sant Baba Bhag Singh University - [SBBSU],In 2 year program of B.P.ED semester fee is almost 24000 with 7000 hostels and 2100 as monthly mess charges. In 3 year program of B. P.ES semester fee is almost 11450 with the same 7000 hostels and 2100 as mess charges. Scholarship benefits are discussed at the time of admission as per policy. 75% of percentage in 12th Or Graduation will be 5% less in the first semester. 85% of percentage with 10% fee discount. 95% of percentage with 15% fee discount. They have also a real brother scholarship. In which if 2 brothers are studying in the same course. One will have to pay only 50% for the first semester.
515,Sant Baba Bhag Singh University - [SBBSU],I don't have any scholarships... The fees is high.
516,Shivajirao Kadam Group of Colleges,Yearly fees = 80000 Which includes Tution fees =50000 Caution fees =5000 Registration fees =2000 Development fees = 1500 Lab fees = 3500 Sports fees = 1500 Library fees = 1500 Bus fees = 15000 For sc and st category There is a relief of 10000rs And pwd is also applicable One of my friend got admission in pwd his fees is 40000
516,Shivajirao Kadam Group of Colleges,"My yearly fees due is that 130000 per year. I belong in obc category so scholarship provide by government is that around 27000 I join languages classes like c, cpp, java its course are also payable for me"
516,Shivajirao Kadam Group of Colleges,So the fees for 1 year for computer science branch is 75000rs with including scholorship. 28000-30000rs is scholorship account that will come to your bank account between 3rd to 4th semester and fees is increased now. For new session that is 2024-2028 the fees will be 80000rs and you will get scholarship
516,Shivajirao Kadam Group of Colleges,There is about to 80000 fees of my 1st yr of bachelor of technology in which I will get about 20000 return fees in terms of scholarship by MP government in OBC category . There are more about 5 lakh per year of average package of our college
516,Shivajirao Kadam Group of Colleges,"In B pharm the fee is 90,000 in which the tution and bus facility is included.T he OBC/ST/SC category students can provide scholarship-based admissions. In ST/SC there is a 50% scholarship and the OBC is a 30% scholarship are given by government"
517,Rai University - [RU],"I am doing b.tech in computer science the fees is very very low to compare another university/college. The complete fees is 80000 per year including tution fees, exam fees,and other charges. They also provide bus to travel it is our choice to take university bus or not . The bus fees is 28000per year."
517,Rai University - [RU],I am in B.Tech CSE. My yearly fee is about 71000. And per semester is 35500. So this is good about Universities This is one of the reasons I came to this University. In my opinion Fees structure is Right. But they don't give me any scholarship.
517,Rai University - [RU],"The cost of the study is good according to other universities. The resident of Gujarat who belongs to SC, ST, and OBS can avail of the scholarship. Here, anyone can get an education loan through Bank, assistance will get from University."
517,Rai University - [RU],"Rai business school have own private University .they are charge least fees for MBA programme. University provides various scholarships on the basis of getting scores in different competitions. likewise digital marketing target, event management competition, etc. many times college gives campus job with good stipends to eligible students."
517,Rai University - [RU],In BTech annually there are 125000 fees. And 10500 one time admission fees. There are many exams held in College of we pass the exam we can save upto 50% fees the main exam is RTH Rai talent hunt in which if we got more than 90%marks we will get 70% discount in fees and if got more than 80% we get 50% discount.
518,Shri Krishna University - [SKU],I have joined BBA course and I have paid yearly 16000 including tution fees admission fees is 5000 thre are many courses including BBA BSc Bed Bcom and more all the charges are very affordable when I was studying there is a scholarship which is jvd
518,Shri Krishna University - [SKU],"The fees for BBA are 7500/- per semester plus 1500/- exam fees extra per semester. The scholarship is for OBC, SC, and ST. And it is 4800/6600 per year which means for a total fee of 18000/- for BBA you have a scholar of 4800/- for OBC and 6600/- for SC ST. The bus fee is 5000/- per year which is optional."
518,Shri Krishna University - [SKU],The fee of the Masters in physics subject is 40000 per year. The complete cost of this course is 80000. The scholaeships are available for students who have categories like SC/ST/OBC etc. The fee is reasonable as per the required.
518,Shri Krishna University - [SKU],"- Colleges is an educational period where one can assimilate and gain knowledge. But in the recent times the sacrosancitity of such institutions has been disturbed violently with the major culprit being the huge hike in the fees. But in my college there is no fees hiking there is a clean and good environment. - Vikramaditya Yojana , Mukhyamantri Jan Kalyan Yojana , Post matric Scholarship scheme , Gaon ki beti Yojna, Scholarship given by UGC etc..Yes there are various jobs inside the campus with stipends."
518,Shri Krishna University - [SKU],"- College is an educational period where one can a assimiate and gain an unfathomable amount of knowledge. But in the recent times the sacrosanctity of such institution has been disturbed violently with the major culprit being the huge hike in the fees. Even the most coveted institution in the country the iits and then it have not been spared from this disease. Fees are normal and not so high and expensive. - The Scholarship which we get in the campus are . AICTE Scholarship, Central sector scheme of Scholarship, Tata steel twin scholarship, Special Assistance Program by UGC ,Mukhya mantri Jan Kalyan yojana , Mukhyamantri Madhavi Vidhyarthi Yojana, Post Matric scholarship for OBC students, Gaon ki beti Yojana , Vikramaditya Scholarship yojana"
519,Anand Institute of Higher Technology - [AIHT],"Anand institute is the very good college and very neat ambiance here students will never regret the college for the future goals here seperately hotel's available for both boys and girls so no need to worry about the safety of the students ,so parents you can kindly join your children for the future engineers and entrepreneurs in many ways of good coaching to the students by the staffs and teachers,and also here we give the scholarship to the students for the caste wise and also government scholarship also we able the get and give to the students here last year 14 students placed in the Zoho and TCS as the both are very large IT field for more and more salary increment facilities and students are very well settled in the scheme of the matured man , students gains more knowledge and extra curricular activities as singing, dancing mimicry and also sports are very important to the college students always college students are willing in the sports last year CSBS 2nd year students went to f"
519,Anand Institute of Higher Technology - [AIHT],I'm uma and I'm a 1st graduate student from our family. I approach anand Institute to pursue my engineering degree in ECE. They reduced my fee for 50000.They have lots of scholarship to help out the students to pursue their engineering dream.
519,Anand Institute of Higher Technology - [AIHT],"Anand Institute of Higher Technology, Chennai has a traning and placement division on campus which handles all the placement activities. During the placements of 2023 of AIHT Chennai a total of 560 students were placed, as per National Institutional Ranking Framework 2024 report. During the AIHT Chennai 2023,497 UG graduates and 62 PG graduates were placed."
519,Anand Institute of Higher Technology - [AIHT],This fees actually less compared with other engineering colleges. They support the students even in paying the fee. They also provide scholarships for students according to their eligibility. They also Value our fees
519,Anand Institute of Higher Technology - [AIHT],"The tution fees forever college is 50000 and other colleges fees for information technology is more than 80000. for MBC ,bc,and sc schlorship are available. Mbc, bc its 5000 and sc it's hole college fees as a schlorship."
520,Arunai Engineering College - [AEC],"The scholarships are available for the students academics based on their performances and criteria. But, i did not applied for anything. So, I could not elaborate but my friends and all other students get more benefits."
520,Arunai Engineering College - [AEC],"Tution fee=50000,food and trasport=35000.Their is scholarship for student based on their category. Their helping for study Loan process. For the final year student their gave opportunity more than 25 companies based on their courses."
520,Arunai Engineering College - [AEC],"50000 tution fees because I am in government quota student, 75000 with bus fees, sc st scholarship are available. More campus drive conducted by our college. Sports quote also available with half of the fees"
520,Arunai Engineering College - [AEC],"Fee structure is standard how anna university scheduled the same fee only collected by our college. Scholarship provided based upon on scheduled caste, so I didn't get because my caste not fall under that category. After degree I've choosen to go for govt exams so that I didn't attend any campus placement."
520,Arunai Engineering College - [AEC],I am a first graduate student. So the government will give me some amount for my studies. The fee structure is also reasonable according to government rules. I didn't get any scholarship in my college. So I have no idea about this.
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"Fees for this college is around 88000 per year . If you have any benifits of EWS or EBC then you have to pay only 50000 per year. And other caste reservation also affects the fees for them.for NT,ST students fees stands fir 2000 only.average fees around 4 years stands for below 4 lakhs"
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"Fees for this college is around 88000 per year. If you have any benifits of EWS or EBC then you have to pay only 50000 per year. And other caste reservation also affects the fees for them. for NT,ST students fees stands fir 2000 only.average fees around 4 years stands for below 6 lakhs"
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"The fees for this college are around 88000 per year. If you have any benefits of EWS or EBC then you have to pay only 50000 per year. And other caste reservation also affects the fees for them. For NT, ST student's fees stand for 2000 only. The average fee of around 4 years stands for below 4 lakhs."
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"The fees for this college are around 88000 per year. If you have any benefits of EWS or EBC then you have to pay only 50000 per year. And other caste reservation also affects the fees for them. For NT, ST student fees stand for 2000 only. Average fees around 4 years stand for below 4 lakhs"
521,Bharati Vidyapeeth College of Engineering - [BVCOE],Fees for this college are around 90000 overall expenses. If you have any benefits of ews r even then you have to pay only 49523 only per year and the rest of the fees are funded by the government. if you are from sc or st you have to pay only 2500.
522,DMI College of Engineering - [DMICE],"Yearly I will be paying 90000 in two terms Tyrion fees is 60000 and hostel 3000 I have no scoralships My friends paying min 30000 after all allowances they get Sc / St , first graduate and single parent"
522,DMI College of Engineering - [DMICE],"Per year contains 2 semesters for that You will be paying 15000 per year ie, 7500 per semester excluding breakage fees and Exam fees. Tuition fees will be approximately 15000 per year and Caution / Breakage fees costs around 2000, Admissin fees will be 500 and other managemenst fees & other compulsory fees will be withing 1500."
522,DMI College of Engineering - [DMICE],"Per semester fees total 12500 it includes tuition fees, caution fees, registration fees, admission fees, development fees. It also provide sc scholarship and financial aid scholarship for fees they are deduct fees from scholarship and balance amount they are given to the student"
522,DMI College of Engineering - [DMICE],"*The year wise fees i paid is(67500) *the tution fees is 50,000, registration fees is 500, development fees is 40,000 *the fees of my batchmates also same as my fees *PMSS scholarships is 50,000 per year"
522,DMI College of Engineering - [DMICE],Tution fee is 50000 when I admissioned in the college and now tution fee is different for each course and also fees structure changes for students based on community and also based on councililng and management kotta
523,Dayananda Sagar Academy of Technology and Management - [DSATM],In the 1st year of my BE I paid around 98000 and then in the next year I paid 99800 and for my third year I paid 10100 and for the final year I paid 102300 it has been fairly increasing since year 1 . Myself being from general category didn't get any scholarship but people with reservation might get scholarships around 18000
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"I took a management quota seat. The fees will come upto 15 lakhs for 4 years. The actual fees is 3 lakhs per year but in the first year you have to pay 3lakh extra as donation. While the donation is increasing every year with demand, but I took admission in the year 2021 and this was the fees structure. Fees per year:2,91,000 Donation: 3,00,000 Total for 4 years: 15,00,000 approx"
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"3,15,000 per annum because i went through management quota but if you come through kcet exam the fees per annum is around 75-80000 and throught comedk it is 200000 per year .For kcet students there is ssp scholarship available to which gives 10-12k per year back to students but for management as donation 2 lakhs should be paid upfront if you take cse core branch then the donation is 3 lakhs upfront"
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"Over all the college is good, teaching is also very good. The infrastructure is very good. Transportation might be bit of a problem but it's very good. Good placements have taken place. The lecturers are very friendly. As it is autonomous now, it is easier to get marks."
523,Dayananda Sagar Academy of Technology and Management - [DSATM],The course i opted was B.E- ISE anf the fees per year was 85000 . Scholarship was also availabile for merit holders . The fees of other courses were also around 85000 Students with merit also had scholarships.
524,Dhole Patil College of Engineering - [DPCOE],Dpcoe college has 90k fees for open general category students But sc st has 5000 fees And obc hase 60k fees So this is best college for category students because this college affiliated with sppu and with very low fees for sc st cast students There is mahadbt scholarship is
