Serial No.,College Name,Distance Education Info
563,Career Point University - [CPU],no data found
564,SRMIST Delhi NCR Campus,no data found
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",no data found
566,K.S. School of Engineering and Management- [KSSEM],no data found
567,Vivekananda Institute of Technology - [VIT],no data found
568,PERI Institute of Technology - [PERIT],no data found
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,no data found
570,Adhiparasakthi College of Engineering Arcot - [APCE],no data found
571,SRM Institute of Science and Technology Ramapuram Campus,no data found
572,St. Andrews Institute of Technology and Management - [SAITM],no data found
573,CMR Technical Campus - [CMRTC],no data found
574,"SRM, Institute of Technology",no data found
575,"University College of Engineering, JNTUK",no data found
576,St.Joseph's Institute of Technology - [SJIT],no data found
577,Ramco Institute of Technology - [RIT],no data found
578,ITM Vocational University - [ITMVU],no data found
579,"Greater Noida Institute of Technology, IPU - [GNIT]",no data found
580,Netaji Subhas University - [NSU],no data found
581,Greater Noida Institute of Technology (Engineering Institute),no data found
582,Arunodaya University,no data found
583,Shri Guru Ram Rai University - [SGRRU],no data found
584,JSS Academy of Technical Education - [JSSATE],no data found
585,SDM College of Engineering and Technology - [SDMCET],no data found
586,Jagdishprasad Jhabarmal Tibrewala University - [JJTU],no data found
587,Jawaharlal Nehru Engineering College - [JNEC],no data found
588,Mohamed Sathak Engineering College - [MSEC],no data found
589,AVS Engineering College - [AVSEC],no data found
590,Ahmedabad Institute of Technology,no data found
591,Amritsar College of Engineering and Technology - [ACET],no data found
592,Anand International College of Engineering,no data found
593,M H Saboo Siddik College of Engineering - [MHSSCOE],no data found
594,Aurangabad College of Engineering - [ACE],no data found
595,Drs. Kiran and Pallavi Patel Global University,no data found
596,Cambridge Institute of Technology - [CIT],no data found
597,Coimbatore Institute of Engineering and Technology - [CIET],no data found
598,College of Engineering Thalassery,no data found
599,D. Y. Patil College of Engineering,no data found
600,Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH],no data found
601,East Point Group of Institutions - [EPGI],no data found
602,GITA Autonomous College - [GITA College],no data found
603,Global Institute of Technology - [GIT],no data found
604,Godavari Global University - [GGU],no data found
605,Guru Nanak Dev Engineering College - [GNDEC],no data found
606,IFET College of Engineering - [IFET],no data found
607,KMCT College of Engineering,no data found
608,KPR Institute of Engineering & Technology - [KPRIET],no data found
609,Kathir College of Engineering,no data found
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],no data found
611,MEA Engineering College- [MEAEC],no data found
612,M. Kumarasamy College of Engineering - [MKCE],no data found
613,Mahaveer Institute of Science and Technology- [MIST],no data found
614,Mailam Engineering College,no data found
615,Manakula Vinayagar Institute of Technology - [MVIT],no data found
616,Marthandam College of Engineering and Technology - [MACET],no data found
617,PA College of Engineering - [PACE],no data found
618,Rajagiri School of Engineering & Technology - [RSET],no data found
619,Sahrdaya College of Engineering - [SCE] Kodakara,no data found
620,Sanjivani College of Engineering,no data found
621,Saroj Mohan Institute of Technology - [SMIT],no data found
622,Seemanta Engineering College,no data found
623,Sengunthar Engineering College,no data found
624,Shivani Engineering College - [SEC],no data found
625,Sri Venkateshwara College of Engineering - [SVCE],no data found
626,Swami Vivekananda Institute of Technology - [SVIT],no data found
627,TKR College of Engineering and Technology - [TKRCET],no data found
628,Trinity College of Engineering,no data found
629,APS College of Engineering - [APS],no data found
630,College of Engineering - [COER],no data found
631,Park College of Engineering and Technology - [PCET],no data found
632,"University Institute of Information Technology, Himachal Pradesh University - [UIIT]",no data found
633,GD Goenka University - [GDGU],no data found
634,NIILM University,no data found
635,IEC University Baddi - [ICEU],no data found
636,ITM (SLS) Baroda University,no data found
637,ISL Engineering College - [ISLEC],no data found
638,Trident Academy of Technology,no data found
639,Maulana Azad University,no data found
640,Himalayan University - [HU],no data found
641,People's University,no data found
642,Amrita School of Engineering - [ASE],no data found
643,Ganga Group of Institutions - [GGI],no data found
644,RajaRajeswari College of Engineering - [RRCE],no data found
645,Sri Manakula Vinayagar Engineering College - [SVMEC],no data found
646,International Institute of Technology and Management - [IITM],no data found
647,Shobhit University,no data found
648,Maharishi University of Information Technology - [MUIT],no data found
649,Vidya Knowledge Park - [VKP],no data found
650,Jaypee University Anoopshahr,no data found
651,St.Joseph University,no data found
652,Rishihood University,no data found
653,Sarala Birla University - [SBU],no data found
654,Radha Govind University - [RGU],no data found
655,Kavikulguru Institute of Technology and Science - [KITS],no data found
656,Stanley College of Engineering and Technology for Women - [SCETW],no data found
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,no data found
658,Anand Engineering College - [AEC],no data found
659,Andhra Loyola Institute of Engineering - [ALIET],no data found
660,Baba Banda Singh Bahadur Engineering College - [BBSBEC],no data found
661,Bangalore College of Engineering and Technology-[BCET],no data found
662,Bankura Unnayani Institute of Engineering - [BUIE],no data found
663,Chadalawada Ramanamma Engineering College - [CREC],no data found
664,Chettinad College of Engineering and Technology - [CCET],no data found
665,"College of Engineering And Management, Kolaghat",no data found
666,DAV Institute of Engineering and Technology - [DAVIET],no data found
667,Dhanalakshmi Srinivasan Engineering College - [DSEC],no data found
668,Ellenki College of Engineering and Technology - [ECET],no data found
669,GKM College of Engineering and Technology - [GKMCET],no data found
670,G L Bajaj Institute of Technology and Management,no data found
671,Karpagam Institute of Technology,no data found
672,Kongunadu College of Engineering and Technology - [KNCET],no data found
673,MBM Engineering College - [MBM],no data found
674,Mookambigai College of Engineering,no data found
675,Ponjesly College of Engineering - [PCE],no data found
676,Rajadhani Institute of Engineering and Technology - [RIET] Attinga,no data found
677,Ramachandra College of Engineering - [RCE],no data found
678,Roorkee Institute of Technology - [RIT],no data found
679,SCMS School of Engineering and Technology [SSET],no data found
680,SIES Graduate School of Technology - [SIES-GST],no data found
681,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,no data found
682,Sapthagiri NPS University,no data found
683,Saroj Institute of Technology and Management - [SITM],no data found
684,Sasurie College of Engineering - [SCE],no data found
685,Selvam College of Technology - [SCT],no data found
686,Shivalik College of Engineering - [SCE],no data found
687,Silver Oak College of Engineering and Technology - [SOCET],no data found
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,no data found
689,Sree Buddha College of Engineering Pattoor - [SBCE],no data found
690,Sree Narayana Gurukulam College of Engineering - [SNGCE],no data found
691,Sree Sastha Institute of Engineering and Technology,no data found
692,Sri Siddhartha Institute of Technology - [SSIT],no data found
693,Tamilnadu College of Engineering - [TNCE],no data found
694,Thangavelu Engineering College,no data found
695,Hyderabad Institute of Technology and Management - [HITAM],no data found
696,Vemu Institute of Technology - [VEMU],no data found
697,Kalaignar karunanidhi Institute of Technology - [KIT],no data found
698,Patel College of Science and Technology - [PCST],no data found
699,Career Point University - [CPU],no data found
700,Sri Sai University - [SSU],no data found
701,Sri Guru Granth Sahib World University - [SGGSWU],no data found
702,Sir Padampat Singhania University - [SPSU],no data found
703,Vinayaka Missions University - [VMU],no data found
704,Jyothy Institute of Technology - [JIT],no data found
705,College of Engineering Perumon,no data found
706,Sreyas Institute of Engineering and Technology - [SIET],no data found
707,Delhi Institute of Tool Engineering - [DITE],no data found
708,K. C. College of Engineering And Management Studies And Research,no data found
709,Vi Institute of Technology - [VIIT],no data found
710,Birla Institute of Technology Extension Centre - [BIT],no data found
711,A. P. Shah Institute of Technology - [APSIT],no data found
712,Vidyavardhini's College of Engineering and Technology - [VCET],no data found
713,Vimal Jyothi Engineering College - [VJEC],no data found
714,K. Ramakrishnan College of Engineering -[KRCE],no data found
715,Ganga Technical Campus - [GTC],no data found
716,Pratap University - [PU],no data found
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],no data found
718,"GIET Engineering College, Rajahmundhry",no data found
719,"GIET College of Engineering, Rajahmundhry",no data found
720,Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT],no data found
721,Narsimha Reddy Engineering College - [NRCM],no data found
722,KGISL Institute of Technology - [KITE],no data found
723,Jai Parkash Mukand Lal Innovative Engineering & Technology Institute - [JMIETI],no data found
724,SAL College of Engineering - [SCE],no data found
725,OP Jindal University - [OPJU],no data found
726,Rajkiya Engineering College - [REC],no data found
727,Gopal Narayan Singh University - [GNSU],no data found
728,Shyam University,no data found
729,KIPM College of Engineering and Technology - [KIPM],no data found
730,Chalapathi Institute of Engineering and Technology - [CIET],no data found
731,KKR & KSR Institute of Technology and Sciences - [KITS],no data found
732,Kallam Haranadhareddy Institute of Technology - [KHIT],no data found
733,Vikrant University,no data found
734,JIS University,no data found
735,Renaissance University - [RU],no data found
736,OmDayal Group of Institutions,no data found
737,A.V.C College of Engineering - [AVCCE],no data found
738,AWH Engineering College,no data found
739,Aarupadai Veedu Institute of Technology - [AVIT],no data found
740,Abacus Institute of Engineering and Management,no data found
741,Akshaya College of Engineering and Technology-[ACET],no data found
742,Al Ameen Engineering College,no data found
743,Rajadhani Institute of Science and Technology - [RIST],no data found
744,Amrutvahini College of Engineering - [AVCOE],no data found
745,Arasu Engineering College - [AEC],no data found
746,Arya College of Engineering and IT - [ACEIT],no data found
747,Bapuji Institute of Engineering and Technology - [BIET],no data found
748,Cape Institute of Technology - [CAPE],no data found
749,Dhanalakshmi College of Engineering - [DCE],no data found
750,Dhirajlal Gandhi College of Technology,no data found
751,Dronacharya College of Engineering - [DCE],no data found
752,EGS Pillay Engineering College,no data found
753,Einstein College of Engineering,no data found
754,Eswar College of Engineering,no data found
755,G Narayanamma Institute of Technology and Science - [GNITS],no data found
756,Ghousia College of Engineering - [GCE],no data found
757,Global Institute of Engineering and Technology - [GIT],no data found
758,Gopalan College of Engineering and Management - [GCEM],no data found
759,Green Hills Engineering College,no data found
760,Hasmukh Goswami College of Engineering - [HGCE],no data found
761,Hindusthan Institute of Technology - [HITECH],no data found
762,Institute of Engineering and Technology - [IETR],no data found
763,KG Reddy College of Engineering and Technology - [KGRCET],no data found
764,KLN College of Information Technology - [KLNCIT],no data found
765,KNS Institute of Technology - [KNSIT],no data found
766,KCC Institute of Technology and Management - [KCCITM],no data found
767,Lakhmi Chand Institute of Technology - [LCIT],no data found
768,Lendi Institute of Engineering and Technology,no data found
769,M.A.M College of Engineering - [MAMCE],no data found
770,Marri Laxman Reddy Institute of Technology & Management - [MLRITM],no data found
771,Maharaja Institute of Technology - [MIT],no data found
772,Maharana Pratap Engineering College - [MPEC],no data found
773,Malla Reddy College of Engineering and Technology- [MRCET],no data found
774,Malla Reddy Institute of Technology - [MRIT],no data found
775,Mallabhum Institute of Technology - [MIT],no data found
776,Malwa Institute of Science and Technology - [MIST],no data found
777,Mewat Engineering College - [MECW],no data found
778,Nagpur Institute of Technology - [NIT],no data found
779,P.B. College of Engineering - [PBCE],no data found
780,Progressive Education Society's Modern College of Engineering - [MCOE],no data found
781,Raghu Institute of Technology - [RIT],no data found
782,Rajiv Gandhi College of Engineering and Technology,no data found
783,Reva Institute of Technology and Management - [RITM],no data found
784,SKP Engineering College,no data found
785,"Scient Institute of Technology, Ibrahimpatnam",no data found
786,Shree Swami Atmanand Saraswati Institute of Technology - [SSASIT],no data found
787,St Xaviers Catholic College of Engineering - [SXCCE],no data found
788,Surya Engineering College,no data found
789,T John Institute of Technology - [TJIT],no data found
790,Technocrats Institute of Technology - [TIT],no data found
791,Teegala Krishna Reddy Engineering College,no data found
792,Toc H Institute of Science and Technology - [TIST],no data found
793,Walchand Institute of Technology - [WIT],no data found
794,Truba College of Science and Technology - [TCST],no data found
795,Jain College of Engineering - [JCE],no data found
796,M.A.M. College of Engineering and Technology - [MAMCET],no data found
797,Velammal College of Engineering and Technology - [VCET],no data found
798,Vignan Institute of Technology And Management,no data found
799,Mangalmay Institute of Engineering and Technology - [MIET],no data found
800,Jansons Institute of Technology - [JIT],no data found
801,United Institute of Technology - [UIT],no data found
802,Vidya Academy of Science and Technology - [VAST],no data found
803,Viswajyothi College of Engineering and Technology - [VJCET],no data found
804,ICFAI Foundation for Higher Education - [IFHE],"IFHE, The Center for Distance and Online Education is an AICTE approved and Hyderabad based institution which was established 3 decades ago under the umbrella of the ICFAI Foundation for Higher Education. The college is accredited by the NAAC with A++ grade and recognized by the UGC. In addition to this, IFHE is a member of the Association of Commonwealth Universities and the Association of Indian Universities. And the institute is offering an online MBA course of a minimum of 2 years’ duration and a maximum of 4 years’ time at the Postgraduate level with a bequest of 30 years in Management education and 20 years of legacy in distance learning. This distance learning has 22 courses and is particularly designed for working professionals and people who want to make a career in Management. Also, admission to this course is offered based on marks obtained by candidates in last year’s qualifying exam and their performance in Presentations and Personal Interviews."
805,ICFAI University,no data found
806,AP Goyal Shimla University,no data found
807,Mohammad Ali Jauhar University,no data found
808,PCTE Group of Institutes,no data found
809,Dayananda Sagar Institutions - [DSI],no data found
810,Bangalore Technological Institute - [BTI],no data found
811,A. C. Patil College of Engineering - [ACPCE],no data found
812,Vasantdada Patil Pratishtan's College of Engineering & Visual Arts,no data found
813,PPG Institute of Technology - [PPGIT],no data found
814,Vadodara Institute of Engineering,no data found
815,JD College of Engineering and Management,no data found
816,Shree L. R. Tiwari College of Engineering - [SLRTCE],no data found
817,Apex Professional University - [APU],no data found
818,Haridwar University,no data found
819,Providence College of Engineering,no data found
820,Dr. NGP Institute of Technology,no data found
821,Gwalior Engineering College - [GEC],no data found
822,United Group of Institutions - [UGI],no data found
823,Sarvepalli Radhakrishnan University - [SRK],no data found
824,Ajeenkya DY Patil University - [ADYPU],no data found
825,H.V.P.Mandal's College of Engineering & Technology,no data found
826,"Faculty of Engineering Sciences & Technology, Adani University - [FEST]",no data found
827,IAMR Group of Institutions - [IAMR],no data found
828,Amritsar Group of Colleges - [AGC],no data found
829,Gokul Global University - [GGU],no data found
830,Jawahar Engineering College,no data found
831,World College of Technology and Management - [WCTM],no data found
832,Adhi College of Engineering and Technology - [ACET],no data found
833,Adichunchanagiri Institute of Technology- [AIT],no data found
834,Aligarh College of Engineering and Technology - [ACET],no data found
835,Allenhouse Institute of Technology,no data found
836,Amrita School of Engineering - [ASE],no data found
837,Anjalai Ammal Mahalingam Engineering College - [AAMEC],no data found
838,CSI College of Engineering - [CSICE],no data found
839,Channabasaveshwara Institute of Technology - [CIT],no data found
840,Chirala Engineering College - [CEC],no data found
841,EASA College of Engineering and Technology - [ECET],no data found
842,GM University,no data found
843,Gates Institute of Technology-[GIT],no data found
844,Geeta Engineering College - [GEC],no data found
845,Gharda Institute of Technology-[GIT],no data found
846,Hooghly Engineering and Technology College - [HETC],no data found
847,Institute of Engineering & Technology,no data found
848,Info Institute of Engineering - [IIE],no data found
849,Jawaharlal Nehru National College of Engineering - [JNNCE],no data found
850,KMEA Engineering College - [KMEA EC],no data found
851,Kalpataru Institute of Technology - [KIT],no data found
852,Karpaga Vinayaga College of Engineering and Technology - [KVCET],no data found
853,Konkan Gyanpeeth College of Engineering - [KGCE],no data found
854,Krupajal Engineering College - [KEC],no data found
855,LDRP Institute of Technology and Research - [LDRPITR],no data found
856,L.J. Institute of Engineering and Technology - [LJIET],no data found
857,Malwa Institute of Technology - [MIT],no data found
858,Mangalore Institute of Technology and Engineering - [MITE],no data found
859,Modern Education Society's Wadia College of Engineering - [MESWCOE],no data found
860,Modern Institute of Engineering and Technology - [MIET],no data found
861,Neotia Institute of Technology Management and Science - [NITMAS],no data found
862,Prakasam Engineering College - [PEC],no data found
863,Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC],no data found
864,QIS College of Engineering and Technology - [QISCET],no data found
865,RK College of Engineering - [RKCE],no data found
866,Rajiv Gandhi Institute of Technology - [RGIT],no data found
867,SVS College of Engineering - [SVSCE],no data found
868,Sasi Institute of Technology & Engineering - [SITE],no data found
869,Shivajirao S Jondhale College of Engineering - [SSJCE],no data found
870,Shree Devi Institute of Technology - [SDIT],no data found
871,Sinhgad Academy of Engineering - [SAE] Kondhawa,no data found
872,Sir Visvesvaraya Institute Of Technology - [SVIT] Chincholi,no data found
873,Sree Dattha Institute of Engineering and Science - [SDES],no data found
874,Sri Vijaya Vittala Institute of Technology- [VVIT],no data found
875,St Joseph Engineering College - [SJEC],no data found
876,Swami Vivekanand College of Engineering - [SVCE],no data found
877,Syed Ammal Engineering college,no data found
878,Tripura Institute of Technology,no data found
879,Yagyavalkya Institute of Technology - [YIT],no data found
880,Gojan School of Business and Technology - [GSBT],no data found
881,CMR Institute of Technology - [CMRIT],no data found
882,PET Engineering College,no data found
883,Patel College of Science and Technology - [PCST],no data found
884,Usha Mittal Institute of Technology - [UMIT],no data found
885,Vaageswari College of Engineering,no data found
886,Vishveshwarya Group of Institutions - [VGI],no data found
887,NIIT University - [NU],no data found
888,CT Group of Institutions,no data found
889,ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER],no data found
890,Institute of Technology & Management - [ITM],no data found
891,JCT College of Engineering and Technology,no data found
892,JIMS Engineering Management Technical Campus- [JEMTEC],no data found
893,Dhanalakshmi Srinivasan College of Engineering - [DSCE],no data found
894,Vaigai College of Engineering- [VCE],no data found
895,Jagannath University,no data found
896,Bhopal Institute of Technology & Science - [BITS],no data found
897,St.Mary's Engineering College - [SMEC],no data found
898,Maharishi University of Information Technology -[MUIT],no data found
899,Meerut Institute of Technology - [MIT],no data found
900,Institute of Technology and Management - [ITM],no data found
901,VSB College of Engineering Technical Campus,no data found
902,Guru Nanak Institutions Technical Campus - [GNITC],no data found
903,Bineswar Brahma Engineering College- [BBEC],no data found
904,Rawal Institutions,no data found
905,Madhyanchal Professional University - [MPU],no data found
906,Yenepoya Institute of Technology - [YIT],no data found
907,Sapkal Knowledge Hub - [SKH],no data found
908,International School of Engineering - [INSOFE],no data found
909,Shikshapeeth College of Management and Technology - [SCMT],no data found
910,Thakur Institute of Aviation Technology - [TIAT],no data found
911,BFIT Group of Institutions - [BFIT],no data found
912,"AVN Institute of Engineering and Technology - [AVNIET], Ibrahimpatnam",no data found
913,Amrita Sai Institute of Science and Technology - [ASIST],no data found
914,Arya College of Engineering,no data found
915,Bahubali College of Engineering - [BCE],no data found
916,Bearys Institute of Technology-[BIT],no data found
917,Bharat Institute of Technology - [BIT],no data found
918,Bharati Vidyapeeth College of Engineering - [BVCOE] Navi Mumbai,no data found
919,Christ College of Engineering and Technology,no data found
920,Coorg Institute of Technology - [CIT],no data found
921,Dr. Sivanthi Aditanar College of engineering - [SACOE],no data found
922,G. Pullaiah College of Engineering and Technology - [GPCET],no data found
923,GSSS Institute of Engineering and Technology for Women - [GSSSIETW],no data found
924,Genba Sopanrao Moze College of Engineering Balewadi,no data found
925,Guru Nanak Dev Engineering College - [GNDEC ],no data found
926,Haryana Engineering College - [HEC],no data found
927,Holy Mary Institute of Technology and Science -[HITS],no data found
928,ITS Engineering College,no data found
929,ILM College of Engineering and Technology - [ILMCET],no data found
930,Indira College of Engineering & Management - [ICEM],no data found
931,Indra Ganesan College of Engineering - [IGCENG],no data found
932,K Ramakrishnan College of Technology - [KRCT],no data found
933,Kalam Institute of Technology - [KIT],no data found
934,Kandula Sreenivasa Reddy Memorial College of Engineering - [KSRMCE],no data found
935,Karavali Institute of Technology - [KIT],no data found
936,L.B.S. College of Engineering - [LBSCEK],no data found
937,Latha Mathavan Engineering College - [LMEC],no data found
938,Manipur Institute of Technology - [MIT],no data found
939,Modern Institute of Technology and Research Centre -[MITRC],no data found
940,Mohandas College of Engineering and Technology - [MCET],no data found
941,Narayana Engineering College - [NEC],no data found
942,Netaji Subhash Engineering College - [NSEC],no data found
943,R.M.K. College of Engineering and Technology - [RMKCET],no data found
944,RITEE Group of Institutions,no data found
945,Rustamji Institute of Technology - [RJIT],no data found
946,SRK Institute of Technology,no data found
947,SS College of Engineering,no data found
948,Shaheed Udham Singh Engineering College - [SUSEC],no data found
949,Santhiram Engineering College Nandyal - [SREC],no data found
950,Shambhunath Institute of Engineering and Technology - [SIET],no data found
951,Shri Shankaracharya Institute of Professional Management and Technology - [SSIPMT],no data found
952,Siddhant College of Engineering - [SCOE] Sudumbare,no data found
953,Sipna's College of Engineering and Technology,no data found
954,Skyline Institute of Engineering and Technology - [SIET],no data found
955,Smt Kashibai Navale College of Engineering - [SKNCOE] Vadgaon,no data found
956,Smt. Indira Gandhi College of Engineering - [SIGCE],no data found
957,SR University - [SRU],no data found
958,Sree Chaitanya College of Engineering - [SCCE],no data found
959,Sri Jagadguru Chandrashekaranatha Swamiji Institute of Technology - [SJCIT],no data found
960,Sri Muthukumaran Institute of Technology - [SMIT],no data found
961,Srinivasa Ramanujan Institute of Technology - [SRIT],no data found
962,St. Joseph's College of Engineering and Technology - [SJCET] Palai,no data found
963,T.J.S. Engineering College,no data found
964,SRM TRP Engineering College,no data found
965,Global Institute of Technology and Management - [GITM],no data found
966,United Institute of Technology - [UIT],no data found
967,Chhatrapati Shivaji Institute of Technology - [CSIT],no data found
968,Panipat Institute of Engineering & Technology - [PIET],no data found
969,Sanskar Educational Group - [SEG],no data found
970,Usha Rama College of Engineering and Technology - [URCE],no data found
971,Vidya Vikas Institute of Engineering and Technology - [VVIET],no data found
972,Indus International University - [IIU],no data found
973,Yamuna Group Of Institutions - [YGI],no data found
974,Amiraj College of Engineering and Technology- [ACET],no data found
975,Annamacharya Institute of Technology and Sciences - [AITS],no data found
976,Jai Narain College of Technology & Science - [JNCTS],no data found
977,BVRIT Hyderabad College of Engineering for Women - [BVRITH],no data found
978,Jhulelal Institute of Technology - [JIT],no data found
979,MIC College of Technology,no data found
980,Guru Nanak Institute of Technology - [GNIT],no data found
981,KJ Institute of Engineering and Technology - [KJIT],no data found
982,"Solamalai College of Engineering, Veerapanjan",no data found
983,V V College of Engineering,no data found
984,SRM University Vadapalani Campus,no data found
985,CMR Group of Institutions,no data found
986,Aryans Group of Colleges,no data found
987,Graphic Era Hill University Bhimtal Campus - [GEHU],no data found
988,Phonics Group of Institutions - [PGI],no data found
989,Vindhya Institute of Technology and Science - [VITS],no data found
990,K.K. Wagh Institute of Engineering Education & Research - [KKWIEER],no data found
991,Supreme Knowledge Foundation Group of Institutions - [SKFGI],no data found
992,Elitte College of Engineering - [ECE],no data found
993,Siddhartha Institute of Technology and Sciences - [SITS],no data found
994,Institute of Technology & Management - [ITM],no data found
995,Mahendra Institute of Technology - [MIT],no data found
996,Shri Rawatpura Sarkar University - [SRU],no data found
997,Jorhat Institute of Science and Technology - [JIST],no data found
998,Sri Shanmugha College of Engineering and Technology - [SSCET],no data found
999,KIIT College of Engineering,no data found
1000,Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,no data found
